"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5404","TC_011","chromium","Tue Feb 11 14:14:19 IST 2025","passed","Tue Feb 11 14:14:24 IST 2025","","Login.spec.js","",""
"","3774","TC_003","webkit","Tue Feb 11 14:14:44 IST 2025","passed","Tue Feb 11 14:14:48 IST 2025","","Login.spec.js","",""
"","4419","TC_006","chromium","Tue Feb 11 14:14:14 IST 2025","passed","Tue Feb 11 14:14:19 IST 2025","","Login.spec.js","",""
"","6153","TC_009","chromium","Tue Feb 11 14:14:17 IST 2025","passed","Tue Feb 11 14:14:23 IST 2025","","Login.spec.js","",""
"","4383","TC_007","chromium","Tue Feb 11 14:14:16 IST 2025","passed","Tue Feb 11 14:14:20 IST 2025","","Login.spec.js","",""
"","7861","TC_011","webkit","Tue Feb 11 14:14:55 IST 2025","passed","Tue Feb 11 14:15:03 IST 2025","","Login.spec.js","",""
"","7566","TC_004","firefox","Tue Feb 11 14:14:28 IST 2025","passed","Tue Feb 11 14:14:36 IST 2025","","Login.spec.js","",""
"","5376","TC_004","chromium","Tue Feb 11 14:14:10 IST 2025","passed","Tue Feb 11 14:14:15 IST 2025","","Login.spec.js","",""
"","6590","TC_001","chromium","Tue Feb 11 14:14:10 IST 2025","passed","Tue Feb 11 14:14:17 IST 2025","","Login.spec.js","",""
"","6993","TC_002","webkit","Tue Feb 11 14:14:41 IST 2025","passed","Tue Feb 11 14:14:48 IST 2025","","Login.spec.js","",""
"","2470","TC_003","chromium","Tue Feb 11 14:14:10 IST 2025","passed","Tue Feb 11 14:14:12 IST 2025","","Login.spec.js","",""
"","2208","TC_010","firefox","Tue Feb 11 14:14:36 IST 2025","passed","Tue Feb 11 14:14:39 IST 2025","","Login.spec.js","",""
"","5590","TC_002","chromium","Tue Feb 11 14:14:10 IST 2025","passed","Tue Feb 11 14:14:16 IST 2025","","Login.spec.js","",""
"","3746","TC_003","firefox","Tue Feb 11 14:14:26 IST 2025","passed","Tue Feb 11 14:14:29 IST 2025","","Login.spec.js","",""
"","8103","TC_006","firefox","Tue Feb 11 14:14:30 IST 2025","passed","Tue Feb 11 14:14:38 IST 2025","","Login.spec.js","",""
"","1335","TC_010","chromium","Tue Feb 11 14:14:17 IST 2025","passed","Tue Feb 11 14:14:19 IST 2025","","Login.spec.js","",""
"","8982","TC_009","webkit","Tue Feb 11 14:14:52 IST 2025","passed","Tue Feb 11 14:15:01 IST 2025","","Login.spec.js","",""
"","3565","TC_005","webkit","Tue Feb 11 14:14:48 IST 2025","passed","Tue Feb 11 14:14:52 IST 2025","","Login.spec.js","",""
"","5824","TC_007","webkit","Tue Feb 11 14:14:51 IST 2025","passed","Tue Feb 11 14:14:57 IST 2025","","Login.spec.js","",""
"","5776","TC_006","webkit","Tue Feb 11 14:14:49 IST 2025","passed","Tue Feb 11 14:14:55 IST 2025","","Login.spec.js","",""
"","1378","TC_008","chromium","Tue Feb 11 14:14:16 IST 2025","passed","Tue Feb 11 14:14:17 IST 2025","","Login.spec.js","",""
"","8716","TC_001","firefox","Tue Feb 11 14:14:20 IST 2025","passed","Tue Feb 11 14:14:29 IST 2025","","Login.spec.js","",""
"","3537","TC_008","webkit","Tue Feb 11 14:14:51 IST 2025","passed","Tue Feb 11 14:14:55 IST 2025","","Login.spec.js","",""
"","7175","TC_009","firefox","Tue Feb 11 14:14:35 IST 2025","passed","Tue Feb 11 14:14:42 IST 2025","","Login.spec.js","",""
"","2722","TC_005","firefox","Tue Feb 11 14:14:30 IST 2025","passed","Tue Feb 11 14:14:32 IST 2025","","Login.spec.js","",""
"","5656","TC_004","webkit","Tue Feb 11 14:14:45 IST 2025","passed","Tue Feb 11 14:14:51 IST 2025","","Login.spec.js","",""
"","5643","TC_007","firefox","Tue Feb 11 14:14:31 IST 2025","passed","Tue Feb 11 14:14:37 IST 2025","","Login.spec.js","",""
"","6392","TC_011","firefox","Tue Feb 11 14:14:37 IST 2025","passed","Tue Feb 11 14:14:43 IST 2025","","Login.spec.js","",""
"","2427","TC_008","firefox","Tue Feb 11 14:14:32 IST 2025","passed","Tue Feb 11 14:14:35 IST 2025","","Login.spec.js","",""
"","9025","TC_001","webkit","Tue Feb 11 14:14:41 IST 2025","passed","Tue Feb 11 14:14:50 IST 2025","","Login.spec.js","",""
"","3323","TC_010","webkit","Tue Feb 11 14:14:55 IST 2025","passed","Tue Feb 11 14:14:58 IST 2025","","Login.spec.js","",""
"","7202","TC_002","firefox","Tue Feb 11 14:14:21 IST 2025","passed","Tue Feb 11 14:14:29 IST 2025","","Login.spec.js","",""
"","1527","TC_005","chromium","Tue Feb 11 14:14:13 IST 2025","passed","Tue Feb 11 14:14:14 IST 2025","","Login.spec.js","",""
